table_name,column_name,lngdsc,comtyp,length,null_flg,pk_flg,ident_flg,column_comment
invdtl,catch_qty,Catch Quantity,F,8,True,False,False,Catch Quantity
invdtl,lst_mov_zone_id,Last Movement Zone ID,I,4,True,False,False,Last Movement Zone ID. Displays the last movement zone id of the inventory. Moves to the RF device will NOT be updated with the rdt device as the last movement zone.
invdtl,bill_through_dte,Bill Through Date,D,14,True,False,False,Refers to the ending date of the anniversary storage period.  This is usually one day less than the sum of the received date and the billing period length.
invdtl,condcod,Condition Code,S,1,True,False,False,The condition code of inventory returned to the warehouse.
invdtl,distro_id,Distribution Identifier,S,35,True,False,False,Distribution Identifer - the distribution inventory reserved for
invdtl,distro_flg,Distribution Candidate,I,4,False,False,False,Indicates if the inventory is candidate for distribution.
invdtl,hld_flg,On Hold,I,4,False,False,False,This flag indicates that the inventory is put on hold if it has a value of 1 .
invdtl,inv_attr_str1,Inventory Attribute Text 1,S,100,True,False,False,Inventory Attribute Text 1.This field can be enabled to track and use custom text data during standard inventory-related operations.
invdtl,inv_attr_str2,Inventory Attribute Text 2,S,100,True,False,False,Inventory Attribute Text 2.This field can be enabled to track and use custom text data during standard inventory-related operations.
invdtl,inv_attr_str3,Inventory Attribute Text 3,S,100,True,False,False,Inventory Attribute Text 3.This field can be enabled to track and use custom text data during standard inventory-related operations.
invdtl,inv_attr_str4,Inventory Attribute Text 4,S,100,True,False,False,Inventory Attribute Text 4.This field can be enabled to track and use custom text data during standard inventory-related operations.
invdtl,inv_attr_str5,Inventory Attribute Text 5,S,100,True,False,False,Inventory Attribute Text 5.This field can be enabled to track and use custom text data during standard inventory-related operations.
invdtl,inv_attr_str6,Inventory Attribute Text 6,S,100,True,False,False,Inventory Attribute Text 6.This field can be enabled to track and use custom text data during standard inventory-related operations.
invdtl,inv_attr_str7,Inventory Attribute Text 7,S,100,True,False,False,Inventory Attribute Text 7.This field can be enabled to track and use custom text data during standard inventory-related operations.
invdtl,inv_attr_str8,Inventory Attribute Text 8,S,100,True,False,False,Inventory Attribute Text 8.This field can be enabled to track and use custom text data during standard inventory-related operations.
invdtl,inv_attr_str9,Inventory Attribute Text 9,S,100,True,False,False,Inventory Attribute Text 9.This field can be enabled to track and use custom text data during standard inventory-related operations.
invdtl,inv_attr_str10,Inventory Attribute Text 10,S,100,True,False,False,Inventory Attribute Text 10.This field can be enabled to track and use custom text data during standard inventory-related operations.
invdtl,inv_attr_str11,Inventory Attribute Text 11,S,100,True,False,False,Inventory Attribute Text 11.This field can be enabled to track and use custom text data during standard inventory-related operations.
invdtl,inv_attr_str12,Inventory Attribute Text 12,S,100,True,False,False,Inventory Attribute Text 12.This field can be enabled to track and use custom text data during standard inventory-related operations.
